@asof|2026-09-15
#960387|WORLD OF POWER SPORTS|143445.87|130846.05
2080260|EVS|7125.85|1153.72
2080260|CARDO|5814.89|5697.05
2080260|DUNLOP|5790.61|3820.53
2080260|YUASA|5657.16|6197.18
2080260|ALPINESTARS|2604.78|826.81
2080260|100-PERCENT|2172.46|368.49
2080260|SCORPION EXO|1535.29|858.05
2080260|SEDONA|1215.95|912.24
2080260|SHINKO|1163.78|802.46
2080260|MAXIMA|1117.32|1818.59
2080260|FIRE POWER|887.27|2492.59
2080260|PJ1|533.43|1255.85
2080260|GMAX|227.05|2899.07
2080260|NGK|120.84|1078.04
2080260|PPD|76.68|1313.88
2080260|CAMSO|0|1760.22
2080260|STUD BOY|0|738.42
2080260|BAFFIN|0|832.19
#2110033|GP CYCLESPORTS|72736.96|89808.42
2110033|BRIDGESTONE|17587.00|1430.01
2110033|DUNLOP|8285.37|30404.09
2110033|SHINKO|7987.89|5976.48
2110033|MAXIMA|3022.55|3395.54
2110033|MAXXIS|2301.54|2063.22
2110033|ALL BALLS|2195.46|4361.90
2110033|K&N|2063.94|918.25
2110033|FIRE POWER|1966.67|716.41
2110033|SKF|1804.90|2526.31
2110033|HARDDRIVE|1765.09|832.71
2110033|NUETECH|1675.64|1134.77
2110033|EBC|1612.29|2851.30
2110033|YOSHIMURA|1528.48|0
2110033|FLY RACING|1066.69|1459.24
2110033|PRO CIRCUIT|1016.00|0
2110033|SYSTEM 3|970.48|0
2110033|REKLUSE RACING|950.60|209.89
2110033|RACE TECH|762.95|1805.84
2110033|MICHELIN|738.72|3131.64
2110033|VERTEX|489.69|1022.85
2110033|MOTION PRO|452.88|975.47
2110033|DIRT TRICKS|451.94|1188.84
2110033|IRC|214.95|888.07
2110033|RICKS|147.25|883.58
2110033|ALPINESTARS|167.92|814.30
2110033|BEL-RAY|104.72|1200.83
2110033|SONSIO|0|720.00
#83100|NIELSEN'S ENTERPRISES|74225.31|93171.17
83100|KFI|16290.70|35071.01
83100|YUASA|10406.03|14993.00
83100|MICHELIN|6914.88|6081.06
83100|DUNLOP|4912.30|4322.94
83100|YOSHIMURA|4587.82|840.33
83100|FLY RACING|4272.68|2325.23
83100|100-PERCENT|4092.62|0
83100|FIRE POWER|1917.34|2175.41
83100|MAXIMA|1820.13|1786.63
83100|MAXXIS|1283.19|964.19
83100|FOX|1114.99|0
83100|RIVA|799.51|78.99
83100|D.I.D|797.05|172.10
83100|PUIG|756.50|79.74
83100|BATTERY TENDER|694.31|3049.72
83100|SP1|583.30|1191.64
83100|OPEN TRAIL|50.51|1413.62
83100|CALIBER|33.99|996.80
83100|SCORPION EXO|0|2359.32
83100|FIMCO|0|723.97
#950142|HAMMERTIME SPORTS|64002.22|75210.40
950142|FLY RACING|14523.11|17006.76
950142|RST|6266.32|2271.66
950142|FIRE POWER|4498.43|4290.41
950142|ALPINESTARS|3893.22|813.14
950142|EVS|3052.40|2228.04
950142|CARDO|2922.55|636.36
950142|SCORPION EXO|2123.69|373.66
950142|MICHELIN|2032.76|4939.59
950142|SEDONA|1970.39|1437.14
950142|ALL BALLS|1830.54|2049.42
